
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"disiz & Theodora","melodrama"
2,"Franglish & KeBlack","Génération impolie"
3,"Bleu Soleil & LUIZA","Soleil Bleu"
4,"RnBoi","MON BÉBÉ"
5,"TKS 2G & Maureen","Paddle"
6,"Taylor Swift","The Fate of Ophelia"
7,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
8,"Paul Kalkbrenner & Stromae","QUE CE SOIT CLAIR"
9,"La Fouine & L2B","Flying Blue"
10,"Abraham Mateo & Ana Mena","Quiero Decirte"
11,"Soolking","Tour du monde (feat. L2B)"
12,"Dan Black & Louane","Orchestra (20th Anniversary Version)"
13,"Vitaa & Julien Doré","Viens on essaie"
14,"DJ Antoine, Paolo Ortelli & Jay C","Sarà perché ti amo"
15,"Bouss","Biff pas d'love"
16,"Damiano David","The First Time"
17,"R2","JAMAIS TOI"
18,"Lady Gaga","The Dead Dance"
19,"Meryl & N'Ken","Shatta Confessions"
20,"Mous-K","Cole Palmer"
21,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
22,"GP Explorer, Adèle Castillon & Zamdane","En boucle"
23,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta","Golden (David Guetta REM/X (Extended))"
24,"DYSTINCT","YAMA"
25,"Alex Warren","Ordinary"
26,"GP Explorer, GIMS, La Mano 1.9 & SCH","Un monde à l'autre"
27,"Julien Lieb","Autrement"
28,"Disco Lines & Tinashe","No Broke Boys"
29,"RK & Ninho","SALE ÉTAT"
30,"DJ Malvado & DJ Aka-m","Mussulo (feat. Dody)"
31,"GP Explorer & Anyme023","Toute la nuit"
32,"Favé & SDM","Parle moi"
33,"Alex Warren","Eternity"
34,"DJ Snake & Bipolar Sunshine","Paradise"
35,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
36,"KATSEYE","Gabriela"
37,"Theodora & Jul","ZOU BISOU"
38,"Ravyn Lenae","Love Me Not"
39,"Helena","Tout a changé (Rien n'a changé)"
40,"Niska","Adriano"
41,"Lilly Wood & The Prick & Robin Schulz","Prayer in C (Robin Schulz Radio Edit)"
42,"Pierre Garnier","L'horizon"
43,"Luidji","Monde (feat. Ryan Koffi)"
44,"Olivia Dean","Man I Need"
45,"Sebastian Ingrosso","A New Day (feat. Céline Dion)"
46,"4 Non Blondes","What's Up?"
47,"sombr","undressed"
48,"Lola Young","Messy"
49,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
50,"Tate McRae","you broke me first"
51,"Nono La Grinta","LOVE YOU"
52,"Charlotte Cardin","Tant pis pour elle"
53,"TRIANGLE DES BERMUDES","Mame"
54,"Amel Bent","Pourquoi tu restes"
55,"Tkandz & CXSPER","Now or Never"
56,"Jul","Ragnar"
57,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
58,"Easykid","Shiny"
59,"GIMS","DO YOU LOVE ME ?"
60,"David Guetta, Hypaton & Bonnie Tyler","Together"
61,"Jeck & Carla","À qui le tour"
62,"Yaro","Dios mio (feat. Ninho)"
63,"Lewis Capaldi","Survive"
64,"Benassi Bros. & Dhany","Hit My Heart (TR3NACRIA Remix)"
65,"Ed Sheeran","Sapphire"
66,"Kid Cudi","Maui Wowie"
67,"RK & Genezio","Viano"
68,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
69,"Bello&Dallas","Pilon Gras"
70,"SANTA","Dis-moi oui"
71,"RAYE","WHERE IS MY HUSBAND!"
72,"Notre Dame, Adriatique, Timbaland & Nelly Furtado","Give It To Me 2025"
73,"BLACKPINK","JUMP"
74,"EMIN & JONY","Камин"
75,"GIMS & La Mano 1.9","PARISIENNE"
76,"Sound Of Legend","Game Started"
77,"Fontaines D.C.","Starburster"
78,"GIMS","SENTIMENTAL"
79,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
80,"J Balvin","Azul"
81,"Linh","J'avoue"
82,"La Rvfleuze","Serrure #5"
83,"ZZ & Timar","4h44"
84,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
85,"Pink Floyd","Wish You Were Here"
86,"MC Tairon & Mc Vitin Da Igrejinha","Baile no Morro (Mixed)"
87,"GIMS & Damso","TU ME RENDS BÊTE"
88,"Oria","Toi jamais"
89,"Manu Chao","Me Gustas Tú"
90,"Debbie","All Night Long"
91,"Ridsa","Bachata"
92,"R2","RUINART"
93,"Bad Bunny","DtMF"
94,"Chappell Roan","Pink Pony Club"
95,"Guy2Bezbar","Cullinan"
96,"Benson Boone","Mystical Magical"
97,"GIMS","AIR FORCE BLANCHE (feat. JUL)"
98,"Cheu-B, Ghost Killer Track & SDM","Catalina"
99,"sombr","12 to 12"
100,"Ninho","5 bleus"
101,"JRK 19 & PLK","Astrid"
102,"Bilel Tacchini","Choufou l'amour Madar Fia"
103,"TRIANGLE DES BERMUDES","Charger (feat. MC YOSHI, Mauvais djo & Kokosvoice)"
104,"Jul","J’m’évade"
105,"FloyyMenor & Cris MJ","Gata Only"
106,"Trinix & Mariana Froes","Vaitimbora"
107,"Aya Nakamura","Désarmer"
108,"Tyler, The Creator","Sugar On My Tongue"
109,"Rim'K & L2B","French Riviera"
110,"Damiano David","Next Summer"
111,"Marine","Cœur maladroit"
112,"M. Pokora","Mille fois"
113,"Dj Kawest & L2B","Mode avion"
114,"Nono La Grinta","Paris"
115,"Dioo","SAUVÉE"
116,"Indochine","No Name"
117,"Furacão 2000","Mimosa 2000"
118,"Ed Sheeran","Azizam"
119,"Yes","Owner of a Lonely Heart"
120,"miki","particule"
121,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
122,"Sayfalse, Cape & Jxndro","Montagem Rugada"
123,"Bouss","Printemps"
124,"Naza & SDM","Tout donner"
125,"Tom Odell","Another Love"
126,"DAYSY","Par cœur (feat. Joseph Kamel)"
127,"Edward Maya & Vika Jigulina","Stereo Love"
128,"SIENNA SPIRO","Die On This Hill"
129,"KeBlack","Melrose Place (feat. Guy2Bezbar)"
130,"Chappell Roan","Good Luck, Babe!"
131,"Theodora","FASHION DESIGNA"
132,"Jonas Blue & Malive","Edge of Desire"
133,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
134,"TKS 2G","AVTLR"
135,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
136,"The Rolling Stones","Paint It, Black"
137,"marguerite","la maison"
138,"Ridsa","Me Enamore"
139,"Brunog","Nuestra Canción"
140,"AMK","Malya, Pt. 2"
141,"Bouss","Mon amour"
142,"Soprano","Tema Love"
143,"Mary J. Blige","Family Affair"
144,"LoVibe.","a good man with a broken heart"
145,"DJ Snake","Paradise (feat. Bipolar Sunshine) [VIP House Edit]"
146,"Ed Sheeran","Camera"
147,"panicbaby","Claw Marks"
148,"Lacrim","Poutine"
149,"LUIZA & Carbonne","Etincelles"
150,"Charlotte Cardin","Feel Good"
151,"Khalil Harrison & Tyler ICU","Jealousy (feat. Leemckrazy & Ceeka RSA)"
152,"Guy2Bezbar","Big mama"
153,"The Red Clay Strays","Wondering Why"
154,"Graya, Ninho & Alonzo","Brouncha"
155,"Djadja & Dinaz","En Bas"
156,"The Stranglers","Golden Brown"
157,"Benson Boone","Beautiful Things"
158,"Sabrina Carpenter","Tears"
159,"Teddy Swims","Bad Dreams"
