
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
2,"Taylor Swift","The Fate of Ophelia"
3,"Rels B","TU VAS SIN (fav)"
4,"Dani Fernández","¿Y si lo hacemos? (feat. Valeria Castro)"
5,"Alex Warren","Ordinary"
6,"Ana Mena","Lárgate"
7,"Lola Young","Messy"
8,"rusowsky","malibU"
9,"Abraham Mateo & Ana Mena","Quiero Decirte"
10,"Fiorella Mannoia","Héroes"
11,"Kapo & Feid","X TI"
12,"Alleh & Yorghaki","capaz (merengueton)"
13,"Beéle & Ovy On the Drums","Mi Refe"
14,"sombr","back to friends"
15,"Nil Moliner","NEXO 04. Tu cuerpo en braille"
16,"Beéle","no tiene sentido"
17,"Luck Ra & BM","La Morocha"
18,"Leire Martinez","Mi Nombre"
19,"Aitana","SUPERESTRELLA"
20,"Ovy On the Drums, Quevedo & Beéle","YO y TÚ"
21,"Damiano David","Next Summer"
22,"4 Non Blondes","What's Up?"
23,"Lady Gaga","The Dead Dance"
24,"DePol","Última Bala"
25,"Ed Sheeran","Sapphire"
26,"Danny Ocean & Kapo","Imagínate"
27,"Rauw Alejandro, Wisin & Ñengo Flow","CONTRABANDO"
28,"Teddy Swims","Lose Control"
29,"Robert Miles","Children"
30,"Xiyo, Fernandezz, Yung Beef & Quevedo","Ruina"
31,"Mora & De La Rose","AURORA"
32,"Enol","UN BESO A LA MITAD"
33,"David Bowie","Starman"
34,"mvrk & Sneaky wh","Niebla"
35,"Easykid","Shiny"
36,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
37,"Blessd, Anuel AA, Kris R. & Luar La L","YOGURCITO REMIX (feat. ROA, Yan Block)"
38,"ROSÉ & Bruno Mars","APT."
39,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
40,"Kidd Voodoo & JC Reyes","Me Mareo"
41,"BLACKPINK","JUMP"
42,"Mora & C. Tangana","DROGA"
43,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
44,"DJ Snake & Bipolar Sunshine","Paradise"
45,"Emilia, TINI & NICKI NICOLE","blackout 🧊"
46,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI","WE PRAY"
47,"Doechii","Anxiety"
48,"Teddy Swims","The Door"
49,"Fontaines D.C.","Starburster"
50,"One Direction","What Makes You Beautiful"
51,"DYSTINCT","YAMA"
52,"Teddy Swims","Bad Dreams"
53,"Beret","Si te vuelvo a llamar"
54,"La La Love You","El Fin del Mundo (feat. Axolotes Mexicanos)"
55,"Kapo & Ryan Castro","DÓNDE"
56,"Tate McRae","you broke me first"
57,"Gala","Freed From Desire"
58,"Damiano David","Born With a Broken Heart"
59,"Bad Bunny","NUEVAYoL"
60,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
61,"Lady Gaga","Always Remember Us This Way"
62,"Disco Lines & Tinashe","No Broke Boys"
63,"Al Safir & Interferencias","Moonlight's Puppet Remix"
64,"Feid","SE LO JURO MOR"
65,"Manuel Turizo","Mírame Ahora"
66,"Myke Towers & Quevedo","SOLEAO"
67,"KAROL G","Si Antes Te Hubiera Conocido"
68,"Chappell Roan","Good Luck, Babe!"
69,"Nicky Jam & Beéle","Hiekka"
70,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
71,"Nicola Di Bari","Il Cuore E' Uno Zingaro"
72,"Benson Boone","Beautiful Things"
73,"Damiano David, Tyla & Nile Rodgers","Talk to Me (feat. Tyla, Nile Rodgers)"
74,"Lady Gaga & Bruno Mars","Die With A Smile (Acoustic)"
75,"Naza & SDM","Tout donner"
76,"Funambulista","Amor, Amor, Amor"
77,"Aitana","6 DE FEBRERO"
78,"EMIN & JONY","Камин"
79,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
80,"Debbie","All Night Long"
81,"Kybba, Sean Paul, Ryan Castro & Busy Signal","Ba Ba Bad Remix"
82,"Gonzalo Hermida","Que No Se Acabe la Noche"
83,"Alvaro Soler & Marta Santos","Lo Que Pasó, Pasó"
84,"KAROL G","Ivonny Bonita"
85,"Benson Boone","Mystical Magical"
86,"Tkandz & CXSPER","Now or Never"
87,"Jere Klein, Katteyes & Mateo on the Beatz","TODO KE VER"
88,"Gloria Gaynor","I Will Survive"
89,"Loreen","Tattoo"
90,"Marshmello & Manuel Turizo","El Merengue"
91,"Bad Gyal","Da Me"
92,"Jezzy & Arcángel","Que Sensación (Remix)"
93,"Phil Collins","In the Air Tonight"
94,"Netherworld","Atlantis"
95,"ELENA ROSE & Justin Quiles","COSITA LINDA"
96,"Samantha Sang","Emotion (feat. Bee Gees)"
97,"El Bogueto & Yung Beef","Cuando No Era Cantante"
98,"Young Cister & Kreamly","QLOO*"
99,"Calvin Harris & Clementine Douglas","Blessings"
100,"Snow Patrol","Chasing Cars"
101,"Bonnie Tyler","Total Eclipse of the Heart"
102,"Ed Sheeran","Perfect"
103,"Tanxugueiras & Valeria Castro","Hoxe, mañá e sempre"
104,"Sabrina Carpenter","Manchild"
105,"Foreigner","I Want To Know What Love Is (Remastered)"
106,"Quevedo","TUCHAT"
107,"Gracie Abrams","That’s So True"
108,"Cesar AC","Me Gusta Más"
109,"George Harrison","Beware of Darkness (2014 Remaster)"
110,"Juseph, La Pantera & Lucho RK","CUPIDOxX"
111,"The Goo Goo Dolls","Iris"
112,"Clarent","LOVE"
113,"Furacão 2000","Mimosa 2000"
114,"The Police","Every Breath You Take"
115,"Clarent & Omar Courtz","Scatpack"
116,"Bryant Myers, Dei V & SAIKO","Duro Ma"
117,"that_pimp_daddy_j","Talking to the Moon Cover"
118,"Ellie Goulding","Love Me Like You Do (From "Fifty Shades of Grey")"
